¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¦¨¥\¸ô511~540¸¹,6.56,°Ó,,,1070316,¤g¦a2«Øª«1¨®¦ì0,¤»¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,710805,73.73,2,2,2,¦³,¦³,3350000,45436,,0,0,,RPVOMLLKNHNFFAD18CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï°·±d¸ô¤T¬q331~360¸¹,12.03,°Ó,,,1070417,¤g¦a1«Øª«1¨®¦ì1,¤Q¤»¼h,¤G¤Q¤»¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060124,156.74,3,2,2,¦³,¦³,8130000,59248,©Y¹D¥­­±,30.66,660000,,RPQNMLOKNHNFFAD87CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï°·±d¸ô¤T¬q301~330¸¹,8.99,°Ó,,,1070410,¤g¦a1«Øª«1¨®¦ì1,¤Q¤C¼h,¤G¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060124,120.72,2,1,1,¦³,¦³,5850000,57628,©Y¹D¥­­±,30.66,660000,,RPRNMLOKNHNFFAD97CA
¦w¥­°Ï,¤g¦a,ª÷«°¬q1~30¦a¸¹,408,¦í,,,1070423,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0,0,0,0,¦³,µL,41345700,101338,,0,0,,RPWNMLOKNHNFFAD48CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¤j©M¸ô181~210¸¹,132.69,¨ä¥L,,,1070423,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,790327,298.8,3,1,2,¦³,µL,9200000,30790,,0,0,,RPVOMLOKNHNFFAD48CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¤­¦mµó241~270¸¹,9.81,¦í,,,1070412,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,931203,56.61,2,1,1,¦³,¦³,3100000,54761,,0,0,,RPOPMLOKNHNFFAD87CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¤å½å¸ô735«Ñ31~60¸¹,93.02,¦í,,,1070411,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,701029,128.64,4,2,2,¦³,µL,5700000,44310,,0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPVOMLPKNHNFFAD58CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï°·±d¸ô¤T¬q301~330¸¹,11.48,°Ó,,,1070313,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,¤G¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1051109,158.97,3,2,2,¦³,¦³,6680000,46585,©Y¹D¥­­±,31.89,760000,,RPXOMLPKNHNFFAD78CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï°ê¥­¸ô552«Ñ91~120¸¹,24.74,¦í,,,1070405,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,800624,170.12,3,2,2,¦³,¦³,5250000,30861,©Y¹D¥­­±,0,0,,RPSQMLPKNHNFFAD48CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï°·±d¸ô¤T¬q301~330¸¹,7.31,°Ó,,,1070331,¤g¦a1«Øª«1¨®¦ì0,¤Q¤G¼h,¤G¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1051109,85.78,3,2,2,¦³,¦³,4280000,49895,,0,0,,RPTPMLPKNHNFFAD48CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¨|¥­¤Cµó1~30¸¹,16.65,¦í,,,1070326,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,850816,103.56,2,2,1,¦³,¦³,3000000,28969,,0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPOQMLPKNHNFFAD08CA
¤¤¦è°Ï,¤g¦a,±d¼Ö¬q271~300¦a¸¹,58,°Ó,,,1070403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0,0,0,0,¦³,µL,2256200,38900,,0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPUNMLSKNHNFFAD68CA
¦w¥­°Ï,¤g¦a,ª÷«°¬q61~90¦a¸¹,92,¦í,,,1070320,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0,0,0,0,¦³,µL,5050000,54891,,0,0,,RPVNMLTKNHNFFAD88CA
¥_°Ï,¤g¦a,¤j¿³¬q91~120¦a¸¹,153.91,¨ä¥L,,,1070321,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0,0,0,0,¦³,µL,864996,5620,,0,0,(¥]§t)¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPQNMLMLNHNFFAD77CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï°·±d¸ô¤T¬q331~360¸¹,11.97,°Ó,,,1070411,¤g¦a1«Øª«1¨®¦ì1,¤Q¤T¼h,¤G¤Q¤»¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1060124,152.67,3,2,2,¦³,¦³,7300000,50741,©Y¹D¥­­±,26.54,900000,,RPRNMLPLNHNFFAD18CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¤j¤¯µó121~150¸¹,91,¦í,,,1070411,¤g¦a4«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,580920,155.82,4,1,2,¦³,µL,4800000,30805,,0,0,,RPORMLKMNHNFFAD87CA
